Name,Slug,Sex,Phd,JD_or_Masters,Undergrad,Experience,Title_While_At_NSC,Period_In_Office,Total_Months_Obama_NSC,admin,Pipeline
Jamie Price,jamie-price-619bb1a9/,F,None,National Defense University,Loyola University New Orleans,DoD - Budget Analyst,"Director for Strategic Capabilities Policy, Defense",October 2010 - February 2011,5,Obama,DOD
Laurel Rapp,laurel-rapp-603aa321/,M,None,Harvard Kennedy School of Government,Brown University,DoS - Near Eastern Affairs Bureau; OneVoice Movement - International Education Program Director,"Special Assistant, Middle East and North Africa Directorate",April 2012 – August 2012,5,Obama,DOS
Jeanny Chong,jeannyllee/,F,None,The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS),Yale University,Treasury,Director for International Economic Affairs,October 2013 – February 2014,5,Obama,OTHER
Christina Tilghman,christina-tilghman/,F,None,University of Maryland,Hampton University,DoS - Cultural Affairs Officer,"Special Assistant, Global Engagement Directorate",June 2016 - November 2016,6,Obama,DOS Pickering_Fellow
Afreen Akhter,afreen-akhter-214ab721/,F,None,Harvard Kennedy School of Government,Brown University,UNICEF; PMF; DoS - Pakistan Desk,"Legislative Assistant and Presidential Management Fellow, Directorate of Legislative Affairs",June 2013 - November 2013,6,Obama,PMF OTHER
Nicole Wilett-Jensen,nicole-wilett-jensen-283a474/,F,None,Indiana University Bloomington,Syracuse University,Fellow - Senate Office of Hillary Clinton,Director for African Affairs,March 2010 - January 2012,7,Obama,CONGRESSIONAL
Natasha Soulé,natasha-soulé-bb6b45b/,M,None,The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS),Vanderbilt University,PwC; DoS - Foreign Affairs Officer,Director for Arms Control,April 2014 - October 2014,7,Obama,OTHER DOS
Emily Mendrala,emily-mendrala-38ba6a3/,F,None,The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS),University of Virginia,Hill Staff Senate Foreign Relations Committee; DoS,Director for Legislative Affairs,June 2016 - January 2017,8,Obama,CONGRESSIONAL DOS
Cecilia S. Choi,cecilia-s-choi/,F,None,The London School of Economics and Political Science (LSE),Claremont McKenna College,DoS - Economic Counselor,Director for Trade and Investment,Nov 2016 - June 2017,8,Obama,DOS
Phyllis Berry,phyllis-berry-b59a0662/,F,Georgetown University,NA,NA,NA ,Director for Ukraine and Senior Advisor on Governance - Strategic Futures Group,November 2014 - 2016,8,Obama,UNKNOWN
